Date,Product Category,Region,Product,Sales,Profit,Quantity Sold
2022-01-01,Electronics,West,Century,736.56,175.03,25
2022-01-02,Accessories,North,Moment,1447.76,270.06,31
2022-01-03,Electronics,South,Down,1501.3,216.56,20
2022-01-04,Accessories,West,Trip,667.31,147.05,39
2022-01-05,Electronics,East,There,952.86,119.39,18
2022-01-06,Clothing,East,Thousand,1019.71,227.29,21
2022-01-07,Furniture,North,Science,654.91,89.52,10
2022-01-08,Electronics,East,May,443.85,102.58,20
2022-01-09,Furniture,Central,Behavior,1270.6,377.29,29
2022-01-10,Clothing,West,Forward,742.23,131.21,47
2022-01-11,Office Supplies,South,Special,1117.65,325.73,36
2022-01-12,Accessories,North,Face,599.87,109.65,15
2022-01-13,Electronics,Central,Child,1077.62,240.78,7
2022-01-14,Office Supplies,North,Room,939.17,228.8,11
2022-01-15,Furniture,East,History,1311.42,237.29,42
2022-01-16,Electronics,North,Voice,951.21,169.69,36
2022-01-17,Electronics,Central,Really,952.32,285.56,15
2022-01-18,Electronics,South,Economy,1314.35,305.06,17
2022-01-19,Clothing,South,Community,1534.69,417.2,9
2022-01-20,Furniture,Central,Statement,1057.68,226.95,6
2022-01-21,Furniture,West,Attack,1068.46,313.41,22
2022-01-22,Furniture,South,Hair,256.86,37.82,14
2022-01-23,Clothing,North,Tonight,994.87,179.29,7
2022-01-24,Furniture,East,Thought,961.84,284.05,12
2022-01-25,Accessories,South,Very,751.18,139.38,11
2022-01-26,Accessories,North,Recognize,1296.8,183.04,40
2022-01-27,Clothing,Central,Course,1419.94,382.1,28
2022-01-28,Accessories,South,Program,1470.35,425.49,37
2022-01-29,Accessories,East,Call,779.22,161.52,10
2022-01-30,Furniture,South,Green,1047.17,283.25,11
2022-01-31,Office Supplies,North,Military,1370.49,265.38,48
2022-02-01,Accessories,East,Democratic,846.99,184.4,47
2022-02-02,Accessories,North,Risk,1332.21,230.5,6
2022-02-03,Clothing,South,Management,700.55,113.35,14
2022-02-04,Clothing,North,Degree,1138.64,150.49,26
2022-02-05,Accessories,Central,Ahead,683.9,131.45,16
2022-02-06,Clothing,North,Law,791.31,141.05,2
2022-02-07,Electronics,North,Modern,1421.79,191.02,12
2022-02-08,Accessories,East,Even,728.9,175.68,42
2022-02-09,Electronics,East,Student,751.53,97.05,6
2022-02-10,Electronics,West,Move,862.34,191.93,27
2022-02-11,Electronics,South,With,1055.47,282.79,20
2022-02-12,Accessories,East,Push,929.89,109.8,20
2022-02-13,Electronics,East,Share,1168.99,168.47,1
2022-02-14,Clothing,East,Might,1079.96,133.17,9
2022-02-15,Furniture,North,Attack,871.34,142.33,41
2022-02-16,Accessories,West,Beat,1480.08,335.95,42
2022-02-17,Clothing,West,Teach,988.88,212.21,28
2022-02-18,Office Supplies,Central,Artist,1274.97,332.0,23
2022-02-19,Accessories,Central,Read,1459.49,212.41,10
2022-02-20,Furniture,East,Debate,812.74,179.1,4
2022-02-21,Clothing,West,Apply,968.18,167.93,42
2022-02-22,Electronics,North,Present,423.56,126.44,38
2022-02-23,Clothing,Central,Six,1043.89,123.75,35
2022-02-24,Office Supplies,South,Gas,1049.04,131.47,7
2022-02-25,Office Supplies,East,Fall,1091.96,139.71,7
2022-02-26,Furniture,North,Left,1062.08,189.43,40
2022-02-27,Accessories,South,When,785.39,193.5,37
2022-02-28,Furniture,South,Water,1014.57,301.58,19
2022-03-01,Clothing,East,Should,899.54,207.11,13
2022-03-02,Accessories,West,Inside,607.97,81.4,3
2022-03-03,Office Supplies,East,Create,936.15,161.76,3
2022-03-04,Furniture,North,Me,1108.34,223.29,16
2022-03-05,Office Supplies,North,Collection,1217.51,314.87,1
2022-03-06,Office Supplies,East,Per,1404.97,206.22,3
2022-03-07,Electronics,East,Table,1059.61,304.32,48
2022-03-08,Accessories,South,Participant,1086.08,313.55,29
2022-03-09,Furniture,Central,Term,1379.82,152.5,3
2022-03-10,Clothing,East,Analysis,742.49,170.25,25
2022-03-11,Electronics,South,Consumer,1282.64,370.58,9
2022-03-12,Clothing,Central,Religious,835.84,108.18,46
2022-03-13,Furniture,East,Rate,1007.27,251.9,19
2022-03-14,Clothing,Central,Instead,844.79,236.97,44
2022-03-15,Electronics,North,Sit,1184.49,225.36,45
2022-03-16,Furniture,East,Artist,1046.96,234.7,48
2022-03-17,Accessories,Central,Walk,770.4,174.55,47
2022-03-18,Electronics,South,Mission,1580.99,339.73,14
2022-03-19,Office Supplies,South,Vote,1077.4,153.15,46
2022-03-20,Office Supplies,South,Sing,557.17,143.43,4
2022-03-21,Accessories,North,Money,1073.89,194.01,7
2022-03-22,Furniture,Central,Region,1156.96,285.56,23
2022-03-23,Clothing,West,Year,997.96,144.83,49
2022-03-24,Electronics,Central,Individual,1074.93,180.85,21
2022-03-25,Accessories,West,Be,1182.3,202.45,42
2022-03-26,Clothing,North,Quite,1249.89,190.25,3
2022-03-27,Accessories,North,Knowledge,741.46,105.19,26
2022-03-28,Electronics,West,Tell,958.22,201.07,39
2022-03-29,Furniture,South,Prove,1025.02,254.07,34
2022-03-30,Accessories,Central,Bank,1198.67,328.28,12
2022-03-31,Accessories,Central,Remain,1331.6,173.19,6
2022-04-01,Electronics,West,Give,1242.58,265.37,23
2022-04-02,Accessories,Central,Common,1405.1,161.47,22
2022-04-03,Clothing,West,Bit,677.23,142.43,25
2022-04-04,Furniture,West,Of,1616.44,255.36,38
2022-04-05,Accessories,West,Indicate,1043.46,292.24,13
2022-04-06,Clothing,East,Hear,910.89,149.63,39
2022-04-07,Clothing,North,Campaign,1087.43,241.99,41
2022-04-08,Clothing,West,Maybe,575.79,115.36,14
2022-04-09,Office Supplies,South,Even,1298.91,291.0,29
2022-04-10,Electronics,Central,Table,806.55,106.91,8
2022-04-11,Clothing,East,Yet,1075.49,312.91,1
2022-04-12,Office Supplies,South,Arrive,1186.72,152.94,24
2022-04-13,Clothing,West,This,1271.25,351.33,39
2022-04-14,Electronics,Central,Space,775.41,150.32,45
2022-04-15,Clothing,West,Management,1146.1,319.26,49
2022-04-16,Office Supplies,West,Soon,994.16,136.47,6
2022-04-17,Electronics,West,Address,1602.71,345.4,4
2022-04-18,Accessories,South,Report,1378.53,270.99,28
2022-04-19,Clothing,South,Natural,1255.78,163.42,44
2022-04-20,Electronics,North,Worker,925.42,257.67,22
2022-04-21,Clothing,West,Pattern,470.39,85.41,18
2022-04-22,Electronics,East,Any,1287.69,156.14,49
2022-04-23,Furniture,West,Bar,975.59,211.19,3
2022-04-24,Electronics,East,Describe,563.54,116.61,5
2022-04-25,Accessories,Central,Black,1245.66,140.37,27
2022-04-26,Electronics,East,Apply,897.29,93.31,18
2022-04-27,Office Supplies,South,At,627.86,156.78,35
2022-04-28,Accessories,East,Beautiful,987.81,277.47,27
2022-04-29,Furniture,East,Beat,655.44,103.17,26
2022-04-30,Furniture,North,Dinner,1362.08,272.76,20
2022-05-01,Accessories,North,Same,1129.11,181.94,33
2022-05-02,Furniture,East,See,1440.07,277.57,10
2022-05-03,Office Supplies,East,Environment,938.56,225.03,8
2022-05-04,Clothing,North,College,1121.6,333.75,44
2022-05-05,Electronics,North,Decide,1068.75,116.12,4
2022-05-06,Furniture,West,End,1289.22,176.94,7
2022-05-07,Accessories,South,Television,435.53,124.78,15
2022-05-08,Electronics,North,Themselves,1101.14,326.42,49
2022-05-09,Accessories,Central,Face,938.35,208.88,34
2022-05-10,Accessories,West,Evening,650.74,145.76,38
2022-05-11,Clothing,South,Stop,1483.04,438.75,25
2022-05-12,Electronics,North,Fish,1788.64,370.94,10
2022-05-13,Furniture,North,Never,1438.04,332.33,48
2022-05-14,Office Supplies,North,Deal,961.88,173.99,13
2022-05-15,Accessories,West,New,1221.6,173.49,32
2022-05-16,Accessories,North,Nothing,1003.97,117.28,49
2022-05-17,Furniture,Central,Once,972.63,226.45,19
2022-05-18,Accessories,North,General,1303.02,195.76,37
2022-05-19,Accessories,Central,Fall,923.61,206.84,27
2022-05-20,Electronics,Central,Machine,1109.54,242.99,23
2022-05-21,Furniture,East,Issue,928.9,218.94,3
2022-05-22,Clothing,West,Image,1044.2,113.29,2
2022-05-23,Accessories,North,Camera,1192.83,199.57,19
2022-05-24,Clothing,North,Different,1000.33,201.89,28
2022-05-25,Clothing,South,Democrat,1033.91,111.48,44
2022-05-26,Furniture,West,Fight,460.02,126.54,20
2022-05-27,Accessories,North,Body,785.51,122.44,23
2022-05-28,Office Supplies,East,Make,1160.95,162.32,42
2022-05-29,Furniture,West,Work,955.53,160.29,30
2022-05-30,Furniture,East,Must,1429.72,176.76,29
2022-05-31,Clothing,East,Large,1523.27,402.82,36
2022-06-01,Office Supplies,South,Chair,385.19,47.87,9
2022-06-02,Accessories,West,Increase,853.62,101.46,14
2022-06-03,Electronics,Central,Position,1198.46,263.72,24
2022-06-04,Accessories,East,Need,854.63,162.12,32
2022-06-05,Accessories,South,President,609.72,152.56,42
2022-06-06,Accessories,Central,Material,1430.27,377.38,31
2022-06-07,Accessories,North,Arm,1609.46,409.82,26
2022-06-08,Clothing,West,Would,486.48,127.29,42
2022-06-09,Electronics,Central,Food,1063.76,115.28,7
2022-06-10,Electronics,North,Early,753.22,206.07,34
2022-06-11,Office Supplies,Central,Police,808.56,231.12,12
2022-06-12,Office Supplies,Central,However,701.1,157.82,5
2022-06-13,Electronics,West,Including,627.95,154.19,1
2022-06-14,Clothing,South,Human,1387.29,333.5,21
2022-06-15,Clothing,Central,Have,688.59,139.69,46
2022-06-16,Clothing,North,Issue,1053.15,141.02,49
2022-06-17,Office Supplies,West,Wide,968.23,253.3,45
2022-06-18,Clothing,West,Return,1278.87,288.79,34
2022-06-19,Clothing,North,Need,825.85,102.47,47
2022-06-20,Furniture,South,Method,1039.21,182.07,39
2022-06-21,Accessories,West,Your,253.51,34.8,5
2022-06-22,Office Supplies,North,Always,801.28,99.36,3
2022-06-23,Office Supplies,South,Education,849.15,198.57,26
2022-06-24,Clothing,North,Soldier,899.67,169.19,37
2022-06-25,Electronics,East,Car,1132.37,277.17,17
2022-06-26,Electronics,Central,Save,1060.2,307.8,14
2022-06-27,Accessories,East,Remain,931.12,168.27,9
2022-06-28,Office Supplies,Central,Yeah,1367.53,322.07,19
2022-06-29,Office Supplies,West,Growth,1582.83,346.5,9
2022-06-30,Office Supplies,East,Start,1406.2,410.12,22
2022-07-01,Accessories,Central,He,1185.8,352.21,45
2022-07-02,Electronics,Central,Current,867.77,216.99,46
